virtual_file,total_functions,clean_functions,remaining,clean_percent,total_lines,total_suspects
core/shovel.cpp,8,6,2,75.0,90,4
core/simbox.cpp,15,6,9,40.0,349,63
core/skeledit.cpp,74,5,69,6.8,9605,2257
core/skeleton.cpp,117,48,69,41.0,5729,819
core/slew.cpp,4,3,1,75.0,151,37
core/smiley.cpp,16,4,12,25.0,880,330
core/sound.cpp,41,24,17,58.5,1475,183
core/spike.cpp,15,6,9,40.0,555,206
core/spline.cpp,7,0,7,0.0,195,127
core/stairs.cpp,21,5,16,23.8,754,305
core/stone.cpp,8,4,4,50.0,94,11
core/stranger.cpp,69,16,53,23.2,7060,2061
core/succubus.cpp,14,7,7,50.0,608,29
core/svetlana.cpp,19,9,10,47.4,1024,229
core/tbplayer.cpp,16,9,7,56.2,329,66
core/teleport.cpp,23,11,12,47.8,385,76
core/tentacle.cpp,15,6,9,40.0,626,86
core/terrain.cpp,4,2,2,50.0,72,12
core/texlist.cpp,14,9,5,64.3,580,55
core/tommygun.cpp,9,4,5,44.4,395,92
core/trap.cpp,17,9,8,52.9,230,41
core/trash.cpp,15,8,7,53.3,473,61
core/trigger.cpp,23,8,15,34.8,1180,200
core/turret.cpp,24,7,17,29.2,1092,256
core/tvbat.cpp,20,7,13,35.0,800,88
core/vampboss.cpp,23,7,16,30.4,1301,152
core/vehicle.cpp,22,10,12,45.5,837,139
core/vessel.cpp,20,9,11,45.0,612,57
core/water.cpp,8,6,2,75.0,325,30
core/wateract.cpp,23,9,14,39.1,871,163
core/waypoint.cpp,19,8,11,42.1,528,100
core/weapon.cpp,27,9,18,33.3,489,128
core/weather.cpp,10,3,7,30.0,534,168
core/werewolf.cpp,21,4,17,19.0,1467,174
core/xform.cpp,61,18,43,29.5,3188,436
core/zombie.cpp,35,6,29,17.1,2665,448
crt/cpp.c,3,2,1,66.7,27,5
crt/ctype.c,2,2,0,100.0,14,0
crt/debug.c,1,0,1,0.0,11,2
crt/env.c,4,1,3,25.0,285,39
crt/environ.c,2,2,0,100.0,71,0
crt/errno.c,5,5,0,100.0,51,0
crt/exception.c,5,2,3,40.0,277,15
crt/exit.c,4,1,3,25.0,55,5
crt/file.c,7,2,5,28.6,282,28
crt/fltused.c,1,1,0,100.0,12,0
crt/fpemu.c,1,0,1,0.0,23,6
crt/fpu.c,2,2,0,100.0,17,0
crt/fstream.cpp,26,8,18,30.8,798,82
crt/heap.c,18,7,11,38.9,606,84
crt/init.c,1,1,0,100.0,22,0
crt/io.c,39,23,16,59.0,1296,138
crt/io.c/stat/thunk,1,1,0,100.0,6,0
crt/io.c/utime/thunk,1,1,0,100.0,6,0
crt/ioinit.c,1,0,1,0.0,29,2
crt/iostream.cpp,23,11,12,47.8,414,24
crt/locale.c,8,4,4,50.0,127,16
crt/math.c,102,53,49,52.0,1710,303
crt/mbstring.c,1,1,0,100.0,10,0
crt/memory.c,21,9,12,42.9,334,47
crt/operation.c,1,1,0,100.0,4,0
crt/process.c,12,5,7,41.7,703,47
crt/signal.c,7,7,0,100.0,125,0
crt/stack.c,5,0,5,0.0,76,16
crt/startup.c,10,6,4,60.0,249,21
crt/startup.cpp,3,0,3,0.0,118,23
crt/stdio.c,102,40,62,39.2,3973,475
crt/stdlib.c,17,8,9,47.1,650,106
crt/string.c,40,25,15,62.5,1021,99
crt/strstream.cpp,21,8,13,38.1,604,60
crt/strtod.c,1,1,0,100.0,6,0
crt/stub.c,3,3,0,100.0,12,0
crt/sync.c,16,16,0,100.0,125,0
crt/system.c,1,1,0,100.0,5,0
crt/thread.c,7,5,2,71.4,142,16
crt/time.c,19,7,12,36.8,834,102
crt/tls.c,12,5,7,41.7,259,16
crt/unknown.c,88,29,59,33.0,2594,761
crt/util.c,1,1,0,100.0,7,0
crt/watcom.c,3,2,1,66.7,79,2
crt/windows.c,1,1,0,100.0,16,0
engine/2d.c,76,39,37,51.3,1866,166
engine/3d.c,101,61,40,60.4,4214,391
engine/alphabit.cpp,9,4,5,44.4,342,58
engine/boss.c,5,2,3,40.0,57,10
engine/clipper.c,28,10,18,35.7,2797,171
engine/colquant.c,9,0,9,0.0,625,285
engine/console.cpp,8,8,0,100.0,198,0
engine/dosio.c,25,11,14,44.0,498,68
engine/drender.cpp,88,47,41,53.4,3257,338
engine/fileio.cpp,71,23,48,32.4,7654,1490
engine/font.cpp,49,22,27,44.9,2240,224
engine/ini.cpp,18,8,10,44.4,495,92
engine/keyframe.c,5,1,4,20.0,427,46
engine/keys.cpp,9,9,0,100.0,56,0
engine/light.cpp,10,9,1,90.0,189,9
engine/matrix.c,30,17,13,56.7,1152,72
engine/model.c,8,2,6,25.0,568,42
engine/palette.cpp,11,7,4,63.6,429,59
engine/pcx.c,4,0,4,0.0,304,23
engine/pod.cpp,34,19,15,55.9,1658,166
engine/prim.c,21,13,8,61.9,1859,196
engine/texture.cpp,22,17,5,77.3,716,82
engine/winfont.cpp,9,3,6,33.3,349,28
shape/cramtex.cpp,21,12,9,57.1,2322,132
shape/design.c,163,63,100,38.7,11770,752
shape/dsemodel.cpp,10,6,4,60.0,347,12
shape/edittool.cpp,156,82,74,52.6,6417,818
shape/memdbg.cpp,24,15,9,62.5,625,47
shape/meshlod.cpp,124,50,74,40.3,7063,823
shape/multicrm.cpp,6,5,1,83.3,120,22
shape/quantize.cpp,33,20,13,60.6,1471,188
shape/spotview.cpp,6,3,3,50.0,259,33
shape/superopt.cpp,186,62,124,33.3,10746,2705
sound/mp3.cpp,57,23,34,40.4,4771,552
sound/snddx.cpp,32,11,21,34.4,1542,129
sound/sndmain.cpp,193,101,92,52.3,7012,970
sound/sndwav.cpp,35,20,15,57.1,803,116
support/codec.cpp,39,22,17,56.4,910,89
support/newmsg.cpp,15,5,10,33.3,377,75
support/trisock.cpp,32,17,15,53.1,433,71
wincore/wddvmem.cpp,28,17,11,60.7,1042,81
wincore/windll.cpp,72,54,18,75.0,3593,388
wincore/winrun.cpp,33,19,14,57.6,1176,62
wincore/winvideo.cpp,5,1,4,20.0,279,58
