addr	conf	name	ret	conv	params	note
10005d10	H	crt_stdio.c__flush_FUN_10005d10	int	__cdecl	FILE* file	FID
10005d90	M	crt_stdio.c__flsall_FUN_10005d90	int	__cdecl	int flag	iterates __piob/_nstream, calls _fflush_lk
10005e60	H	crt_stdio.c__stbuf_FUN_10005e60	int	__cdecl	FILE* file	FID
10005f00	H	crt_stdio.c__ftbuf_FUN_10005f00	void	__cdecl	int flag, FILE* file	FID
10005f40	H	crt_stdio.c__output_FUN_10005f40	int	__cdecl	FILE*, const char * fmt, va_list	printf core; XREF sprintf/fwprintf
10006920	H	crt_stdio.c_write_char_FUN_10006920	void	__cdecl	int ch, FILE* file, int* pnumwritten	FID: _output helper
10006970	H	crt_stdio.c_write_multi_char_FUN_10006970	void	__cdecl	int ch, int count, FILE* file, int* pnumwritten	FID: _output helper
100069b0	H	crt_stdio.c_write_string_FUN_100069b0	void	__cdecl	char* str, int len, FILE* file, int* pnumwritten	FID: _output helper
100069f0	H	crt_stdio.c_get_int_arg_FUN_100069f0	int	__cdecl	va_list* parg	_output arg fetch (*p+=4)
10006a00	H	crt_stdio.c_get_int64_arg_FUN_10006a00	longlong	__cdecl	va_list* parg	*p+=8, EDX:EAX
10006a20	H	crt_stdio.c_get_short_arg_FUN_10006a20	short	__cdecl	va_list* parg	*p+=4, 2-byte AX
10006a30	H	crt_stdio.c__openfile_FUN_10006a30	FILE*	__cdecl	char* filename, char* mode, int sh_flag, FILE* file	FID
10006c40	H	crt_stdio.c__getstream_FUN_10006c40	FILE *	__cdecl	void	scans __piob[_nstream=0x83]
10006d30	H	crt_fpu.c__setdefaultprecision_FUN_10006d30	void	__cdecl	void	FID: _controlfp(0x10000,0x30000) = 53-bit precision
10006d50	H	crt_math.c__ms_p5_test_fdiv_FUN_10006d50	int	__cdecl	void	FID: Pentium FDIV test, returns 0 (no bug)
10006da0	H	crt_fpu.c__ms_p5_mp_test_fdiv_FUN_10006da0	int	__cdecl	void	_ms_p5_test_fdiv + affinity mask
10006ef0	H	crt_stdio.c__forcdecpt_FUN_10006ef0	void	__cdecl	char* buf	inserts locale decimal point into a formatted number
10006f60	H	crt_stdio.c__cropzeros_FUN_10006f60	void	__cdecl	char* buf	strips trailing zeros from a formatted float
10006fc0	H	crt_stdio.c__positive_FUN_10006fc0	int	__cdecl	double* value	returns *value >= 0.0
10006fe0	H	crt_stdio.c__fassign_FUN_10006fe0	void	__cdecl	int flag, void* value, char* str	atodbl/atoflt by flag into value
10007030	H	crt_stdio.c__cftoe_FUN_10007030	errno_t	__cdecl	double* value, char* buf, size_t size_in_bytes, int dec, int caps	FID
100070b0	H	crt_stdio.c__cftoe2_FUN_100070b0	char *	__cdecl	char* buf, int dec, int caps, int* pflt, char is_g	FID
100071a0	H	crt_stdio.c__cftof_FUN_100071a0	errno_t	__cdecl	double* value, char* buf, size_t size_in_bytes, int dec	FID
10007210	H	crt_stdio.c__cftof2_FUN_10007210	char *	__cdecl	char* buf, uint dec, int* pflt, char is_g	FID
100072d0	H	crt_stdio.c__cftog_FUN_100072d0	void	__cdecl	double* value, char* buf, size_t size_in_bytes, int caps	FID
10007380	H	crt_stdio.c__cfltcvt_FUN_10007380	void	__cdecl	double* value, char* buf, int format, size_t size_in_bytes, int precision, int caps	dispatches to _cftoe/_cftof/_cftog by format char
100073f0	H	crt_stdio.c__shift_FUN_100073f0	void	__cdecl	char* str, int dist	FID
10007420	H	crt_stdio.c__flsbuf_FUN_10007420	int	__cdecl	int ch, FILE * str	__getbuf/__write flush-buffer
10007570	H	crt_startup.c__cinit_FUN_10007570	int	__cdecl	int init_fp	FID
100075c0	H	crt_startup.c__exit_crt_FUN_100075c0	void	__cdecl	int code	FID: __exit
100075e0	H	crt_startup.c__cexit_FUN_100075e0	void	__cdecl	void	calls doexit(0,0,1)
10007600	H	crt_startup.c_doexit_FUN_10007600	void	__cdecl	int code, int quick, int retcaller	__initterm, ExitProcess
100076c0	H	crt_startup.c__lockexit_FUN_100076c0	void	__cdecl	void	__lock(13) = _EXIT_LOCK1
100076d0	H	crt_startup.c__unlockexit_FUN_100076d0	void	__cdecl	void	_unlock(13)
100076e0	H	crt_startup.c__initterm_FUN_100076e0	void	__cdecl	char* pfbegin, char* pfend	FID
10007700	H	crt_thread.c__mtinit_FUN_10007700	int	__cdecl	void	FID
10007760	H	crt_thread.c__mtterm_FUN_10007760	void	__cdecl	void	FID
10007790	H	crt_thread.c__initptd_FUN_10007790	void	__cdecl	_ptiddata ptd, pthreadlocinfo locale	FID
100077b0	H	crt_thread.c__getptd_FUN_100077b0	_ptiddata	__cdecl	void	FID
10007820	H	crt_thread.c__freeptd_FUN_10007820	void	__cdecl	_ptiddata ptd	FID
100078f0	H	crt_heap.c__heap_init_FUN_100078f0	int	__cdecl	int mtflag	HeapCreate -> _crtheap
10007910	H	crt_heap.c__heap_term_FUN_10007910	void	__cdecl	void	HeapDestroy(_crtheap)
10007920	H	crt_io.c__ioinit_FUN_10007920	int	__cdecl	void	GetStartupInfoA, SetHandleCount
10007b00	H	crt_startup.c__ioterm_FUN_10007b00	void	__cdecl	void	FID
10007b60	H	crt_env.c__setenvp_FUN_10007b60	int	__cdecl	void	env parse, malloc, __amsg_exit
10007c40	H	crt_startup.c__setargv_FUN_10007c40	int	__cdecl	void	FID
10007ce0	H	crt_stdlib.c_parse_cmdline_FUN_10007ce0	void	__cdecl	char* cmdstart, char** argv, char* args, int* pnumargs, int* pnumchars	called by __setargv
10007eb0	H	crt_locale.c__setmbcp_FUN_10007eb0	int	__cdecl	int code_page	FID
100080e0	H	crt_locale.c_getSystemCP_FUN_100080e0	uint	__cdecl	void	FID
10008130	H	crt_locale.c__CPtoLCID_FUN_10008130	int	__cdecl	int codepage	FID
10008190	H	crt_locale.c_setSBCS_FUN_10008190	void	__cdecl	void	FID: zeroes the mbc lead/trail tables (single-byte codepage)
100081d0	H	crt_locale.c__initmbctable_FUN_100081d0	void	__cdecl	void	FID: _setmbcp(-3)
100081e0	M	crt_env.c___crtGetEnvironmentStringsW_FUN_100081e0	LPWSTR	__cdecl	void	GetEnvironmentStringsW/A+MB2WC; TRUNCATED start (->100081e0)
100083e0	H	crt_env.c___crtGetEnvironmentStringsA_FUN_100083e0	char*	__cdecl	void	GetEnvironmentStringsW, WideCharToMultiByte
10008580	H	crt_stdlib.c__set_error_mode_FUN_10008580	int	__cdecl	int mode	0-2 set/return old, 3 query __error_mode
100085b0	H	crt_startup.c___set_app_type_FUN_100085b0	void	__cdecl	int app_type	stores __app_type
100085c0	M	crt_startup.c_DllMain_FUN_100085c0	BOOL	__cdecl	HINSTANCE hinst_dll, DWORD reason, LPVOID reserved	RET 0xc, returns TRUE
100085d0	H	crt_startup.c__FF_MSGBANNER_FUN_100085d0	void	__cdecl	void	FID
10008610	H	crt_startup.c__NMSG_WRITE_FUN_10008610	int	__cdecl	int rterrnum	"R6009","Runtime Error",___crtMessageBoxA
10008800	H	crt_startup.c__GET_RTERRMSG_FUN_10008800	char *	__cdecl	int rterrnum	{errnum,msg} stride-8 table, R6008/R6009
10008830	H	crt_heap.c_malloc_FUN_10008830	void*	__cdecl	size_t	_nh_malloc/_newmode, __callnewh retry
10008850	H	crt_heap.c__nh_malloc_FUN_10008850	void*	__cdecl	size_t size, int nh_flag	_heap_alloc + __callnewh retry
10008890	H	crt_heap.c__heap_alloc_FUN_10008890	void*	__cdecl	size_t size	HeapAlloc(_crtheap,0,size)
100088b0	M	crt_io.c__alloc_piob_FUN_100088b0	void	__cdecl	void	allocs __piob to _iob, seeds __pioinfo; DUP? vs _ioinit 10007920
100089a0	H	crt_errno.c__dosmaperr_FUN_100089a0	void	__cdecl	ulong oserrno	FID
10008a20	H	crt_errno.c__errno_FUN_10008a20	int*	__cdecl	void	__getptd()+8
10008a30	H	crt_errno.c___doserrno_FUN_10008a30	unsigned long*	__cdecl	void	__getptd()+0xc
10008a40	H	crt_io.c__alloc_osfhnd_FUN_10008a40	int	__cdecl	void	FID
10008b80	H	crt_io.c__set_osfhnd_FUN_10008b80	int	__cdecl	int fh, intptr_t osfhandle	_pioinfo, SetStdHandle for 0/1/2
10008c30	H	crt_io.c__free_osfhnd_FUN_10008c30	int	__cdecl	int fh	FOPEN check, SetStdHandle, clears osfhnd
10008cd0	H	crt_io.c__get_osfhandle_FUN_10008cd0	intptr_t	__cdecl	int fh	returns osfhnd if FOPEN else EBADF
10008d20	H	crt_io.c__open_osfhandle_FUN_10008d20	int	__cdecl	intptr_t osfhandle, int flags	O_APPEND/O_TEXT flags, __alloc_osfhnd; TRUNCATED start (->10008d20)
10008de0	H	crt_io.c__lock_fhandle_FUN_10008de0	int	__cdecl	int filehandle	FID
10008e50	H	crt_io.c__unlock_fhandle_FUN_10008e50	void	__cdecl	int filehandle	FID
10008e80	H	crt_io.c__commit_FUN_10008e80	int	__cdecl	int fh	FlushFileBuffers, lock_fhandle, __dosmaperr
10008f30	H	crt_io.c__write_FUN_10008f30	int	__cdecl	int file_handle, void* buf, uint max_char_count	FID
10008fb0	H	crt_io.c__write_lk_FUN_10008fb0	int	__cdecl	int fh, const void* buf, unsigned int cnt	WriteFile + LF->CRLF, __dosmaperr
100091b0	H	crt_io.c__isatty_FUN_100091b0	int	__cdecl	int fh	_osfile(fh) & FDEV(0x40)
100091e0	H	crt_locale.c__wctomb_FUN_100091e0	int	__cdecl	char* mb_ch, wchar_t w_ch	FID
10009240	H	crt_locale.c__wctomb_lk_FUN_10009240	int	__cdecl	LPSTR mbchar, WCHAR wchar	FID
100092e0	H	crt_math.c__aulldiv_FUN_100092e0	double	__cdecl	uint dividend_lo, uint dividend_hi, uint divisor_lo, uint divisor_hi	FID
10009350	H	crt_math.c__aullrem_FUN_10009350	double	__cdecl	uint dividend_lo, uint dividend_hi, uint divisor_lo, uint divisor_hi	FID
100093d0	H	crt_io.c__open_FUN_100093d0	int	__cdecl	char* filename, int oflag	tail-calls _sopen(_SH_DENYNO 0x40)
100093f0	H	crt_io.c__sopen_FUN_100093f0	int	__cdecl	const char* path, int oflag, int shflag, int pmode	CreateFileA, _alloc_osfhnd
10009890	H	crt_fpu.c__control87_FUN_10009890	uint	__cdecl	uint new_value, uint mask	FID
100098d0	H	crt_fpu.c__controlfp_FUN_100098d0	uint	__cdecl	uint new_value, uint mask	FID
100098f0	H	crt_fpu.c__fpreset_FUN_100098f0	void	__cdecl	void	FNINIT + __setdefaultprecision + ptd reset
10009930	H	crt_fpu.c__abstract_cw_FUN_10009930	uint	__cdecl	ushort control_word	FID
100099e0	H	crt_fpu.c__hw_cw_FUN_100099e0	uint	__cdecl	uint control_word	reads [ESP+4] abstract CW, returns hardware x87 CW; inverse of _abstract_cw
10009a70	M	crt_fpu.c__statusfp_FUN_10009a70	unsigned int	__cdecl	void	x87 SW bits -> _SW_ flags
10009ab0	H	crt_fpu.c__fptrap_FUN_10009ab0	void	__cdecl	void	FID
10009ac0	H	crt_ctype.c__isctype_FUN_10009ac0	int	__cdecl	int c, int type	FID
10009b70	H	crt_ctype.c__tolower_FUN_10009b70	int	__cdecl	int c	FID
10009be0	H	crt_ctype.c__tolower_lk_FUN_10009be0	uint	__cdecl	uint c	FID
10009cd0	H	crt_math.c__ZeroTail_FUN_10009cd0	int	__cdecl	int man, int bit	FID
10009d40	H	crt_math.c__IncMan_FUN_10009d40	void	__cdecl	int man, int bit	FID
10009db0	H	crt_math.c__RoundMan_FUN_10009db0	int	__cdecl	int man, int bit	FID
10009e60	H	crt_math.c__CopyMan_FUN_10009e60	void	__cdecl	int* dst, int* src	FID
10009e80	H	crt_math.c__FillZeroMan_FUN_10009e80	void	__cdecl	int* man	FID
10009e90	H	crt_math.c__IsZeroMan_FUN_10009e90	int	__cdecl	int* man	FID
10009eb0	H	crt_math.c__ShrMan_FUN_10009eb0	void	__cdecl	uint* man, int count	FID
10009f60	H	crt_math.c__ld12cvt_FUN_10009f60	int	__cdecl	ushort* ld, uint* result, int* prec	FID
1000a130	H	crt_math.c___ld12tod_FUN_1000a130	INTRNCVT_STATUS	__cdecl	_LDBL12* ifp, _CRT_DOUBLE* d	table@0x100176a0 prec=0x35(53) -> **double**
1000a150	H	crt_math.c___ld12tof_FUN_1000a150	INTRNCVT_STATUS	__cdecl	_LDBL12* ifp, _CRT_FLOAT* f	was 2nd _ld12tod; table@0x100176b8 prec=0x18(24) -> **float** (__ld12tof)
1000a170	H	crt_math.c___ld12told_FUN_1000a170	INTRNCVT_STATUS	__cdecl	_LDBL12* ifp, _LDOUBLE* ld	80-bit output via __RoundMan; 3rd ld12->X converter
1000a200	H	crt_math.c__atodbl_FUN_1000a200	int	__cdecl	_CRT_DOUBLE* result, char* str	strgtold12 -> __ld12tod = **_atodbl** (correct)
1000a240	H	crt_math.c__atoldbl_FUN_1000a240	int	__cdecl	_LDOUBLE* result, char* str	strgtold12(flag=1) -> __ld12told; **_atoldbl**
1000a280	H	crt_math.c__atoflt_FUN_1000a280	int	__cdecl	_CRT_FLOAT* result, char* str	was 2nd _atodbl; strgtold12 -> __ld12tof = **_atoflt** (float)
1000a2c0	H	crt_stdio.c__fptostr_FUN_1000a2c0	errno_t	__cdecl	char* buf, size_t size_in_bytes, int digits, STRFLT pt_flt	FID
1000a350	H	crt_stdio.c__fltout2_FUN_1000a350	STRFLT	__cdecl	_CRT_DOUBLE dbl, STRFLT flt, char* result_str, size_t size_in_bytes	FID
1000a3e0	H	crt_math.c__dtold_FUN_1000a3e0	void	__cdecl	uint* dst, uint* src	FID
1000a4a0	H	crt_string.c_memcpy_FUN_1000a4a0	void*	__cdecl	void* dst, const void* src, size_t size	was FID_conflict; dual fwd/bwd switch tables = **memcpy/memmove** shared body
1000a5f0	H	crt_io.c__write_dup_FUN_1000a5f0	int	__cdecl	int file_handle, void* buf, uint max_char_count	FID: dup body of _write
1000a670	H	crt_io.c__lseek_lk_FUN_1000a670	long	__cdecl	int fh, long offset, int origin	FID
1000a700	H	crt_stdio.c__getbuf_FUN_1000a700	void	__cdecl	FILE* file	FID
1000a750	H	crt_heap.c_calloc_FUN_1000a750	void*	__cdecl	size_t num, size_t size	count*size, HeapAlloc zero flag
1000a7b0	H	crt_signal.c__XcptFilter_FUN_1000a7b0	int	__cdecl	uint xcpt_num, _EXCEPTION_POINTERS* pxcpt_ptrs	__getptd + UnhandledExceptionFilter + xcpt table
1000a900	M	crt_signal.c__xcptlookup_FUN_1000a900	void *	__cdecl	void* table, int xcpt_num	_XcptActTab stride-12 search
1000a930	H	crt_string.c_wcslen_FUN_1000a930	size_t	__cdecl	const wchar_t* str	word scan, (end-start)>>1
1000a950	H	crt_system.c__crtMessageBoxA_FUN_1000a950	int	__cdecl	LPCSTR lp_text, LPCSTR lp_caption, UINT u_type	FID
1000a9f0	H	crt_string.c__strncpy_FUN_1000a9f0	char*	__cdecl	char* dest, char* source, size_t count	FID
1000aaf0	M	crt_heap.c__set_new_handler_FUN_1000aaf0	_PNH	__cdecl	_PNH pnh	lock; old=g;g=new; return old
1000ab30	H	crt_heap.c__callnewh_FUN_1000ab30	int	__cdecl	size_t size	FID
1000ab70	M	crt_stdio.c___endstdio_FUN_1000ab70	void	__cdecl	void	__piob[3..nstream] fclose+DeleteCriticalSection+free
1000ac10	H	crt_locale.c_setlocale_FUN_1000ac10	char *	__cdecl	int category, char* locale	LC_* ptr table, lock+retry; TRUNCATED start (->1000ac10)
1000aee0	M	crt_locale.c_setlocale_set_cat_FUN_1000aee0	char *	__cdecl	int category, char* locale	per-category setter, calls _expandlocale
1000b060	M	crt_locale.c_setlocale_get_all_FUN_1000b060	char*	__cdecl	void	builds combined LC string
1000b150	M	crt_locale.c__expandlocale_FUN_1000b150	int	__cdecl	char* locale, char* cat, LC_ID* lc_id, UINT* code_page	locale-expr parser, __crtGetLocaleInfoA
1000b330	H	crt_locale.c__lc_lctostr_FUN_1000b330	void	__cdecl	char* dst, int count, ...	appends `count` vararg strings onto dst (reads &stack[0xc]); caller passes (dst,2,sep,catstr)
1000b380	H	crt_locale.c__lc_strtolc_FUN_1000b380	int	__cdecl	char* lc, const char* locale	zeroes 3x0x40 cat struct, strcspn-splits locale into +0/+0x40/+0x80; ret 0 / -1
1000b480	H	crt_locale.c__setlocale_catcopy_FUN_1000b480	void	__cdecl	char* dst, const char* lc	strcpy first cat, then _lc_lctostr-appends +0x40/+0x80 cats
1000b4f0	H	crt_io.c__chsize_FUN_1000b4f0	int	__cdecl	int fh, long size	lock_fhandle, __chsize_lk, EBADF
1000b560	H	crt_io.c__chsize_lk_FUN_1000b560	int	__cdecl	int fh, long size	FID: lseek/write-zero/SetEndOfFile grow-or-shrink under lock
1000b6a0	H	crt_io.c__read_FUN_1000b6a0	int	__cdecl	int fh, void* buf, unsigned int cnt	locks fh, worker=_read_lk(1000b720)
1000b720	M	crt_io.c__read_lk_FUN_1000b720	int	__cdecl	int fh, void* buf, unsigned int cnt	ReadFile + CRLF->LF/^Z xlate
1000b950	H	crt_signal.c_signal_FUN_1000b950	_sigfn	__cdecl	int sig, _sigfn handler	SetConsoleCtrlHandler, __lock, switch on signals
1000bb30	M	crt_signal.c_siglookup2_FUN_1000bb30	void *	__cdecl	int sig	signal-only XREF, handler-table DAT_178f8; DUP? vs 1000bda0
1000bbc0	H	crt_signal.c_raise_FUN_1000bbc0	int	__cdecl	int sig	switch sig 2..22, __getptd/__lock/__exit
1000bda0	H	crt_signal.c_siglookup_FUN_1000bda0	struct _XCPT_ACTION*	__cdecl	int signum, struct _XCPT_ACTION* table	12-byte-stride _XcptActTab search, key@+4; textbook **siglookup**
1000bdf0	M	crt_thread.c___pxcptinfoptrs_FUN_1000bdf0	void**	__cdecl	void	returns &__getptd()->[0x54] (a void* slot) = MSVC __pxcptinfoptrs; NOT __fpecode (that returns int*)
1000be00	H	crt_locale.c___crtGetStringTypeW_FUN_1000be00	BOOL	__cdecl	DWORD info_type, LPCWSTR src, int cch_src, LPWORD char_type, UINT code_page, LCID lcid	GetStringTypeW/A + WideCharToMultiByte fallback
1000bfc0	H	crt_locale.c__crtGetStringTypeA_FUN_1000bfc0	BOOL	__cdecl	_locale_t plocinfo, DWORD dw_info_type, LPCSTR lp_src_str, int cch_src, LPWORD lp_char_type, int code_page, BOOL b_error	FID
1000c0f0	H	crt_locale.c___crtLCMapStringA_v2_FUN_1000c0f0	int	__cdecl	LCID lcid, DWORD map_flags, LPCSTR src, int cch_src, LPSTR dest, int cch_dest, UINT code_page, BOOL error	LCMapStringA/W wrapper (2nd variant)
1000c300	M	crt_string.c_wcsnlen_FUN_1000c300	size_t	__cdecl	wchar_t* str, int max	count wchars to nul, (p-start)>>1
1000c340	H	crt_locale.c___crtLCMapStringA_FUN_1000c340	int	__cdecl	LCID lcid, DWORD map_flags, LPCSTR src, int cch_src, LPWSTR dest, int cch_dest, UINT code_page	LCMapStringW/A, MB2WC
1000c570	M	crt_string.c__strncnt_FUN_1000c570	size_t	__cdecl	char* str, size_t count	count chars to NUL/cnt; helper of __crtLCMapStringA
1000c5a0	H	crt_math.c__addl_FUN_1000c5a0	uint	__cdecl	uint a, uint b, uint* result	FID
1000c5d0	H	crt_math.c__add_12_FUN_1000c5d0	void	__cdecl	uint* a, uint* b	FID
1000c640	H	crt_math.c__shl_12_FUN_1000c640	void	__cdecl	uint* p	FID
1000c680	H	crt_math.c__shr_12_FUN_1000c680	void	__cdecl	uint* p	FID
1000c6c0	H	crt_math.c__mtold12_FUN_1000c6c0	void	__cdecl	char* manptr, int cnt, uint* ld12	FID
1000c7b0	H	crt_math.c__strgtold12_FUN_1000c7b0	uint	__cdecl	_LDBL12* pld12, char** p_end_ptr, char* str, int mult12, int scale, int decpt, int implicit_e	FID
1000cf00	M	crt_stdlib.c__atodbl_v2_FUN_1000cf00	int	__cdecl	_CRT_DOUBLE* result, char* str	__strgtold12+_fassign; TRUNCATED start (->1000cf00)
1000cf50	H	crt_stdio.c__i10_output_FUN_1000cf50	int	__cdecl	int man_lo, uint man_hi, ushort exp_sign, int ndigits, byte flags, short* out	FID: $I10_OUTPUT
1000d3a0	M	crt_time.c___get_lc_time_FUN_1000d3a0	uint	__cdecl	__lc_time_data* lc_time	LOCALE day/month/AMPM/date indices
1000d720	M	crt_time.c___free_lc_time_FUN_1000d720	void	__cdecl	__lc_time_data* lc_time	frees string ptrs +0..+0xa8
1000d960	H	crt_time.c__maketimefmt_FUN_1000d960	uint	__cdecl	LCID lcid, struct __lc_time_data* tdata	builds "HH:mm:ss" picture from LOCALE_ITIME/ITLZERO/STIME into +0xa8
1000dc80	M	crt_locale.c__fix_grouping_FUN_1000dc80	void	__cdecl	char* grouping	digit-'0' + strip ';' grouping fixup
1000ddc0	M	crt_locale.c___get_lc_monetary_FUN_1000ddc0	uint	__cdecl	lconv* lc	SCURRENCY/SMON* indices, fix_grouping
1000df10	M	crt_locale.c__fix_grouping_FUN_1000df10	void	__cdecl	char* grouping	monetary grouping fixup (copy)
1000df60	M	crt_locale.c___free_lconv_mon_FUN_1000df60	void	__cdecl	lconv* lc	frees monetary lconv ptrs +0xc..+0x24
1000e290	H	crt_string.c_strcspn_FUN_1000e290	size_t	__cdecl	char* str, char* control	256-bit BTS bitset, count until member
1000e2d0	M	crt_string.c_strncmp_FUN_1000e2d0	int	__cdecl	char* str1, char* str2, size_t count	SCASB then REPE CMPSB
1000e310	H	crt_string.c_strpbrk_FUN_1000e310	char *	__cdecl	char* str, char* control	BTS bitset, returns match ptr
1000e350	H	crt_locale.c___get_qualified_locale_FUN_1000e350	int	__cdecl	char* locale, void* id, void* out	IsValidLocale/CodePage, "OCP"/"ACP"
1000e650	M	crt_locale.c_GetLcidFromLanguage_FUN_1000e650	uint	__cdecl	char* lang	binary-search language table
1000e6b0	M	crt_locale.c_GetLcidFromCountry_FUN_1000e6b0	uint	__cdecl	char* country	binary-search country table
1000e710	M	crt_locale.c_GetLcidFromCountry_FUN_1000e710	int	__cdecl	unsigned short ctry	ctry%100 indexes 3-word table; getqloc helper
1000e760	H	crt_locale.c_GetLcidFromDefault_FUN_1000e760	int	__cdecl	unsigned short langid	getqloc.c static: langid==0x354 ? 0xc04 : 0 (default-fallback LCID map)
1000e780	M	crt_locale.c_GetLcidFromLangCountry_FUN_1000e780	int	__cdecl	ushort* plang, ushort* pctry	XOR langid & 0x3ff PRIMARYLANGID compare
1000e810	H	crt_io.c__setmode_FUN_1000e810	int	__cdecl	int fh, int mode	_osfhnd/FVISIBLE, __setmode_lk under lock
1000e880	H	crt_io.c__setmode_lk_FUN_1000e880	int	__cdecl	uint fh, int mode	FID
1000e8f0	H	crt_math.c___multtwelve_FUN_1000e8f0	void	__cdecl	_LDBL12* a, _LDBL12* b	XREF $I10_OUTPUT/__multtenpow12; __addl/__shl_12
1000eba0	H	crt_math.c__multtenpow12_FUN_1000eba0	void	__cdecl	_LDBL12* ld12, uint pow, int flag	FID
1000ec20	H	crt_time.c_strftime_FUN_1000ec20	size_t	__cdecl	char* dest, size_t max_size, char* format, tm* timeptr	'%'/'#' loop, tm expand; TRUNCATED start (->1000ec20)
1000ed30	H	crt_time.c__expandtime_FUN_1000ed30	void	__cdecl	unsigned char code, struct tm* tb, char** buf, size_t* count	per-code strftime expander (day/month tables)
1000f2a0	M	crt_time.c__store_str_FUN_1000f2a0	void	__cdecl	char* src, char** pbuf, int* pcount	strftime helper: copy str into buf
1000f2d0	M	crt_time.c__store_number_FUN_1000f2d0	void	__cdecl	int value, uint width, char** buf, size_t* count	strftime static helper: fixed-width zero-padded field
1000f360	M	crt_time.c__store_number_rev_FUN_1000f360	void	__cdecl	int value, char** buf, size_t* count	strftime static helper: minimal digits, reversed in place
1000f3c0	H	crt_time.c__expand_locale_picture_FUN_1000f3c0	void	__cdecl	char* picture, uint flags, char** buf, size_t* count	translates Win32 date/time picture ("h:mm:ss tt") -> strftime codes -> _expandtime
1000f6e0	M	crt_locale.c___getlocaleinfo_FUN_1000f6e0	int	__cdecl	int type, LCID lcid, LCTYPE lc_type, void* out	wraps __crtGetLocaleInfoA/W
1000f8b0	H	crt_stdlib.c__itoa_FUN_1000f8b0	char*	__cdecl	int val, char* buf, int radix	radix10&neg flag, tail-calls xtoa
1000f8f0	H	crt_stdlib.c_xtoa_FUN_1000f8f0	void	__cdecl	unsigned long val, char* buf, unsigned radix, int neg	shared digit loop, reverse
1000f950	H	crt_stdlib.c__ltoa_FUN_1000f950	char*	__cdecl	long val, char* buf, int radix	itoa-twin; TRUNCATED start (->1000f950)
1000f980	H	crt_stdlib.c__ultoa_FUN_1000f980	char*	__cdecl	unsigned long val, char* buf, int radix	passes neg=0 to xtoa
